POST	/orders/:id/cancel
GET	/route-planner/routes/:id/status
GET	/orders
GET	/master/vehicles/expiring-documents
PUT	/master/customers/:id
GET	/maintenance/settings
GET	/maintenance/inspections/:id/checklists
PATCH	/maintenance/work-orders/:id/status
PUT	/maintenance/parts/:id
POST	/settings/bulk
POST	/orders/:id/deliver
POST	/monitoring/alert-rules
GET	/maintenance/work-orders/:id
PATCH	/route-planner/routes/:id/status
PUT	/platform/users/:id
PATCH	/monitoring/alert-rules/:id
PUT	/bitacora/:id/complete
GET	/route-planner/vehicles
POST	/master/customers/import
GET	/bitacora/summary/vehicles
PATCH	/master/customers/:id/status
DELETE	/platform/tenants/:tenantId/fleet-groups/:groupId
GET	/monitoring/historical/vehicles/:vehicleId/date-range
POST	/master/customers/:id/toggle-status
GET	/platform/users
GET	/master/drivers
POST	/operations/scheduling/resolve-conflict
GET	/maintenance/inspections
POST	/operations/scheduling/reschedule
PATCH	/platform/users/:id/permissions
DELETE	/settings/integrations/:id
GET	/bitacora/geofence-breaches
POST	/maintenance/vehicles
GET	/bitacora
PATCH	/monitoring/alerts/:id/acknowledge
GET	/route-planner/whatif-scenarios
PATCH	/maintenance/alerts/:id/dismiss
POST	/route-planner/calculate
PUT	/maintenance/workshops/:id
GET	/maintenance/metrics/downtime
GET	/workflows/:id/validate-geofences
